Dependency,Ecosystem,Category,Repos Using,What It Does,Used In
typescript,js,Dev Environment & Tooling,28.0,Statically typed JavaScript (AOS default language),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/nostr-stats, andotherstuff/universes-legacy, cashubtc/cashu-crypto-ts, cashubtc/cashu-redeem, cashubtc/cashu-ts …"
@types/node,js,Dev Environment & Tooling,21.0,Node.js TypeScript definitions,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/eNuts, cashubtc/npubcash-server, cashubtc/npubcash-website …"
tailwindcss,js,Frameworks & Libraries,21.0,Utility-first CSS framework (AOS default styling),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/nostr-stats, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/docs.cashu.space, cashubtc/npubcash-website …"
eslint,js,Dev Environment & Tooling,20.0,JavaScript/TypeScript linter,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-crypto-ts, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/docs.cashu.space, cashubtc/eNuts …"
nostr-tools,js,Bitcoin Lightning Nostr,20.0,Original TypeScript Nostr library (being migrated from),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/keycast, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu.me, cashubtc/eNuts, cashubtc/npubcash-server, cashubtc/npubcash-website …"
react,js,Frameworks & Libraries,19.0,UI library (AOS standard for web clients),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/docs.cashu.space, cashubtc/eNuts, cashubtc/npubcash-website …"
vite,js,Dev Environment & Tooling,19.0,Frontend build tool and dev server (AOS default),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/nostr-stats, andotherstuff/universes-legacy, andotherstuff/website, cashubtc/cashu-ts, cashubtc/npubcash-website …"
@types/react,js,Dev Environment & Tooling,18.0,React TypeScript definitions,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/eNuts, cashubtc/npubcash-website, cashubtc/nut-november …"
react-dom,js,Frameworks & Libraries,18.0,React renderer for the browser,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/docs.cashu.space, cashubtc/npubcash-website, cashubtc/nut-november …"
@types/react-dom,js,Dev Environment & Tooling,17.0,React-DOM TypeScript definitions,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/npubcash-website, cashubtc/nut-november, marmot-protocol/marmots-web-chat …"
autoprefixer,js,Frameworks & Libraries,15.0,Auto-adds vendor prefixes to CSS,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu.me, cashubtc/docs.cashu.space, cashubtc/npubcash-website, marmot-protocol/whitenoise-podcast …"
clsx,js,Frameworks & Libraries,15.0,Tiny className concatenation utility,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/docs.cashu.space, marmot-protocol/marmots-web-chat, marmot-protocol/whitenoise-podcast …"
serde,rust,Frameworks & Libraries,15.0,Rust serialization framework (AOS Rust default),"andotherstuff/binostr, andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/proton-beam …"
lucide-react,js,Frameworks & Libraries,14.0,Lucide icon set as React components,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-podcast …"
postcss,js,Frameworks & Libraries,14.0,CSS processor (used by Tailwind),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/npubcash-website, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto …"
serde_json,rust,Frameworks & Libraries,14.0,JSON serialization for serde,"andotherstuff/binostr, andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/mdk, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/proton-beam, marmot-protocol/transponder …"
@eslint/js,js,Dev Environment & Tooling,13.0,ESLint core JavaScript configurations,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/eNuts, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto …"
eslint-plugin-react-hooks,js,Dev Environment & Tooling,13.0,ESLint rules for React Hooks,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/eNuts, cashubtc/npubcash-website, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare …"
globals,js,Dev Environment & Tooling,13.0,ESLint global variables definitions,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-ts, cashubtc/eNuts, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto …"
tailwind-merge,js,Frameworks & Libraries,13.0,Deduplicates conflicting Tailwind classes,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, marmot-protocol/marmots-web-chat, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto …"
thiserror,rust,Frameworks & Libraries,13.0,Library-oriented Rust error types,"andotherstuff/binostr, andotherstuff/funnel, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/proton-beam, marmot-protocol/transponder …"
vitest,js,Testing & QA,13.0,Vite-native test framework (AOS default),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/npubcash-server, marmot-protocol/marmot-ts, marmot-protocol/whitenoise-podcast, marmot-protocol/whitenoise-web, soapbox-pub/ditto, soapbox-pub/shakespeare …"
@tailwindcss/typography,js,Frameworks & Libraries,12.0,Tailwind plugin for prose-heavy content,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/nostr-stats, andotherstuff/universes-legacy, cashubtc/docs.cashu.space, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
class-variance-authority,js,Frameworks & Libraries,12.0,Type-safe variant API (core shadcn/ui primitive),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, marmot-protocol/marmots-web-chat, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
react-router-dom,js,Frameworks & Libraries,12.0,Client-side routing for React,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/npubcash-website, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
tracing,rust,Monitoring & Observability,12.0,Structured logging and spans for Rust,"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
typescript-eslint,js,Dev Environment & Tooling,12.0,TypeScript integration for ESLint,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-ts, cashubtc/orchard, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@nostrify/nostrify,js,Bitcoin Lightning Nostr,11.0,Modern TypeScript Nostr framework (AOS/Soapbox standard),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@tanstack/react-query,js,Frameworks & Libraries,11.0,Async state and server-cache management,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@vitejs/plugin-react-swc,js,Dev Environment & Tooling,11.0,Vite React plugin using SWC compiler,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/shakespeare, soapbox-pub/soapbox"
eslint-plugin-react-refresh,js,Dev Environment & Tooling,11.0,ESLint rules for Fast Refresh,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/npubcash-website, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
prettier,js,Dev Environment & Tooling,11.0,Opinionated code formatter,"cashubtc/cashu-crypto-ts, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/coco, cashubtc/docs.cashu.space, cashubtc/eNuts, cashubtc/orchard, marmot-protocol/marmot-ts, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
tailwindcss-animate,js,Frameworks & Libraries,11.0,Animation plugin for Tailwind,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/get-nostr, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, cashubtc/cashu-redeem, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
tracing-subscriber,rust,Monitoring & Observability,11.0,Tracing subscriber (formatter/filter),"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/mdk, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
zod,js,Frameworks & Libraries,11.0,Runtime schema validation with TS type inference,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/nostrify, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@nostrify/react,js,Bitcoin Lightning Nostr,10.0,React bindings for Nostrify,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/heynow, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
