Repo,Org,Language,Dep Count,Top 25 Dependencies
ditto,soapbox-pub,TypeScript,155.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
soapbox,soapbox-pub,TypeScript,145.0,"typescript, tailwindcss, nostr-tools, eslint, react, vite, @types/react, react-dom, @types/react-dom, autoprefixer, clsx, postcss, eslint-plugin-react-hooks, vitest, @tailwindcss/typography, react-router-dom, @nostrify/nostrify, @tanstack/react-query, zod, @vitejs/plugin-react-swc, @testing-library/jest-dom, @testing-library/react, jsdom, @typescript-eslint/eslint-plugin, @typescript-eslint/parser"
shakespeare,soapbox-pub,TypeScript,126.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
universes-legacy,andotherstuff,TypeScript,93.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
orchard,cashubtc,TypeScript,93.0,"typescript, @types/node, eslint, typescript-eslint, prettier, dotenv, ts-node, rxjs, eslint-config-prettier, marked, node-fetch, @types/jest, jest, ts-jest, bcrypt, chart.js, compression, graphql, pg, @types/compression, @types/express, @types/node-fetch, @types/supertest, eslint-plugin-prettier, nodemon"
cashu-feni,cashubtc,Go,87.0,"github.com/btcsuite/btcd, github.com/btcsuite/btcd/btcec/v2, github.com/btcsuite/btcd/btcutil, github.com/btcsuite/btcd/chaincfg/chainhash, github.com/c-bata/go-prompt, github.com/caarlos0/env/v6, github.com/decred/dcrd/dcrec/secp256k1/v4, github.com/fatih/structs, github.com/google/uuid, github.com/gorilla/mux, github.com/imroc/req, github.com/jinzhu/configor, github.com/joho/godotenv, github.com/lightningnetwork/lnd, github.com/nbd-wtf/ln-decodepay, github.com/samber/lo, github.com/sirupsen/logrus, github.com/spf13/cobra, github.com/spf13/pflag, github.com/swaggo/http-swagger, github.com/swaggo/swag, go.elastic.co/ecslogrus, golang.org/x/exp, gopkg.in/natefinch/lumberjack.v2, gorm.io/driver/sqlite"
nostr-compass-podcast,andotherstuff,TypeScript,86.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
ai-sovereignty,andotherstuff,TypeScript,85.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
whitenoise-podcast,marmot-protocol,TypeScript,84.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
aos-convergence,andotherstuff,TypeScript,82.0,"typescript, @types/node, tailwindcss, nostr-tools, eslint, react, vite, react-dom, @types/react, @types/react-dom, clsx, autoprefixer, lucide-react, postcss, tailwind-merge, @eslint/js, eslint-plugin-react-hooks, globals, vitest, class-variance-authority, react-router-dom, @tailwindcss/typography, typescript-eslint, @nostrify/nostrify, @tanstack/react-query"
